4	6	1464	2146	5720.4	3600
4	7	1493	3463	5824.8	3600
4	3	244	0	1328.4	3600
4	5	132	0	925.2	3600
4	2	156	0	1011.6	3600
4	10	1339	831	5270.4	3600
4	9	1480	2075	5778	3600
4	1	100	0	810	3600
4	8	1557	801	6055.2	3600
6	4	1464	2124	5720.4	3600
6	7	88	0	766.8	3600
6	3	1520	2884	5922	3600
6	5	1352	2343	5317.2	3600
6	2	1490	814	5814	3600
6	10	435	0	2016	3600
6	9	127	0	907.2	3600
6	1	1432	3995	5605.2	3600
6	8	103	0	820.8	3600
7	4	1493	2745	5824.8	3600
7	6	88	0	766.8	3600
7	3	1567	3449	6091.2	3600
7	5	1386	2897	5439.6	3600
7	2	1518	1093	5914.8	3600
7	10	389	0	1850.4	3600
7	9	61	0	669.6	3600
7	1	1468	5101	5734.8	3600
7	8	67	0	691.2	3600
3	4	242	0	1321.2	3600
3	6	1540	2767	5994	3600
3	7	1589	4560	6170.4	3600
3	5	252	0	1357.2	3600
3	2	302	0	1537.2	3600
3	10	1454	1162	5684.4	3600
3	9	1576	2538	6123.6	3600
3	1	304	0	1544.4	3600
3	8	1630	1081	6318	3600
5	4	128	0	910.8	3600
5	6	1352	787	5317.2	3600
5	7	1387	1200	5443.2	3600
5	3	221	0	1245.6	3600
5	2	273	0	1432.8	3600
5	10	1233	252	4888.8	3600
5	9	1374	747	5396.4	3600
5	1	218	0	1234.8	3600
5	8	1441	265	5637.6	3600
2	4	149	0	986.4	3600
2	6	1492	2955	5821.2	3600
2	7	1517	4991	5911.2	3600
2	3	306	0	1551.6	3600
2	5	262	0	1393.2	3600
2	10	1311	1038	5169.6	3600
2	9	1504	2996	5864.4	3600
2	1	98	0	802.8	3600
2	8	1581	1137	6141.6	3600
10	4	1340	1596	5274	3600
10	6	434	0	2012.4	3600
10	7	403	0	1900.8	3600
10	3	1433	2211	5608.8	3600
10	5	1232	1692	4885.2	3600
10	2	1311	609	5169.6	3600
10	9	350	0	1710	3600
10	1	1261	2964	4989.6	3600
10	8	458	0	2098.8	3600
9	4	1487	1534	5803.2	3600
9	6	117	0	871.2	3600
9	7	49	0	626.4	3600
9	3	1544	1853	6008.4	3600
9	5	1375	1723	5400	3600
9	2	1542	586	6001.2	3600
9	10	343	0	1684.8	3600
9	1	1484	2983	5792.4	3600
9	8	104	0	824.4	3600
1	4	93	0	784.8	3600
1	6	1442	2846	5641.2	3600
1	7	1466	4715	5727.6	3600
1	3	304	0	1544.4	3600
1	5	206	0	1191.6	3600
1	2	96	0	795.6	3600
1	10	1260	1136	4986	3600
1	9	1453	2948	5680.8	3600
1	8	1530	1068	5958	3600
8	4	1561	866	6069.6	3600
8	6	104	0	824.4	3600
8	7	70	0	702	3600
8	3	1613	1137	6256.8	3600
8	5	1443	961	5644.8	3600
8	2	1585	345	6156	3600
8	10	447	0	2059.2	3600
8	9	119	0	878.4	3600
8	1	1536	1688	5979.6	3600
